time,x,y,z,gforce
0.022,0.005,-0.006,1.006,1.006
0.023,0.008,-0.003,1.005,1.005
0.024,0.009,-0.002,1.003,1.003
0.029,0.007,-0.002,1.004,1.004
0.038,0.009,-0.003,1.005,1.005
0.055,0.009,-0.005,1.006,1.006
0.059,0.010,-0.004,1.004,1.004
0.078,0.009,-0.005,1.004,1.004
0.079,0.012,-0.005,1.005,1.005
0.089,0.009,-0.004,1.005,1.005
0.098,0.009,-0.003,1.005,1.005
0.116,0.007,-0.001,1.005,1.005
0.122,0.006,-0.002,1.005,1.005
0.139,0.008,-0.004,1.005,1.005
0.152,0.009,-0.004,1.006,1.006
0.173,0.009,-0.004,1.003,1.004
0.174,0.009,-0.003,1.005,1.005
0.188,0.008,-0.005,1.006,1.006
0.192,0.010,-0.003,1.005,1.005
0.198,0.009,-0.004,1.004,1.004
0.212,0.008,-0.003,1.006,1.006
0.218,0.007,-0.002,1.005,1.005
0.229,0.007,-0.002,1.004,1.004
0.245,0.008,-0.004,1.006,1.006
0.247,0.007,-0.005,1.004,1.004
0.279,0.008,-0.003,1.006,1.006
0.280,0.010,-0.005,1.005,1.005
0.281,0.011,-0.005,1.004,1.004
0.294,0.010,-0.004,1.006,1.006
0.311,0.009,-0.004,1.005,1.005
0.312,0.009,-0.004,1.004,1.004
0.326,0.008,-0.004,1.007,1.007
0.328,0.007,-0.002,1.005,1.005
0.345,0.008,-0.002,1.005,1.005
0.367,0.009,-0.004,1.006,1.006
0.368,0.010,-0.004,1.006,1.006
0.369,0.011,-0.004,1.006,1.006
0.381,0.011,-0.006,1.006,1.006
0.404,0.011,-0.005,1.005,1.005
0.408,0.011,-0.003,1.004,1.004
0.413,0.008,-0.004,1.005,1.005
0.418,0.007,-0.004,1.003,1.003
0.434,0.006,-0.004,1.004,1.004
0.447,0.006,-0.004,1.006,1.006
0.448,0.009,-0.003,1.006,1.006
0.474,0.009,-0.003,1.004,1.004
0.475,0.010,-0.004,1.006,1.006
0.480,0.010,-0.004,1.003,1.003
0.497,0.011,-0.003,1.004,1.005
0.498,0.009,-0.004,1.005,1.005
0.514,0.009,-0.005,1.004,1.004
0.519,0.008,-0.004,1.004,1.004
0.530,0.007,-0.002,1.004,1.004
0.547,0.009,-0.004,1.005,1.005
0.548,0.008,-0.004,1.004,1.005
0.578,0.008,-0.003,1.004,1.004
0.579,0.010,-0.005,1.005,1.005
0.580,0.009,-0.006,1.004,1.004
0.591,0.009,-0.004,1.004,1.004
0.609,0.009,-0.004,1.004,1.004
0.610,0.009,-0.004,1.004,1.004
0.618,0.009,-0.004,1.004,1.004
0.628,0.008,-0.002,1.006,1.006
0.653,0.007,-0.002,1.004,1.004
0.654,0.008,-0.000,1.004,1.004
0.660,0.008,-0.002,1.005,1.005
0.668,0.008,-0.005,1.005,1.005
0.678,0.010,-0.004,1.006,1.006
0.696,0.009,-0.004,1.005,1.005
0.698,0.010,-0.005,1.006,1.006
0.708,0.010,-0.004,1.005,1.005
0.719,0.009,-0.004,1.005,1.005
0.728,0.008,-0.004,1.004,1.005
0.751,0.008,-0.003,1.006,1.006
0.757,0.009,-0.003,1.005,1.005
0.759,0.008,-0.003,1.006,1.006
0.769,0.009,-0.004,1.004,1.004
0.780,0.009,-0.006,1.004,1.004
0.792,0.011,-0.004,1.005,1.005
0.798,0.011,-0.004,1.005,1.005
0.809,0.009,-0.005,1.005,1.005
0.818,0.008,-0.005,1.005,1.005
0.829,0.008,-0.003,1.006,1.006
0.853,0.008,-0.002,1.005,1.005
0.855,0.009,-0.003,1.005,1.005
0.862,0.009,-0.002,1.006,1.006
0.868,0.010,-0.003,1.005,1.005
0.879,0.010,-0.005,1.004,1.004
0.891,0.011,-0.003,1.004,1.005
0.899,0.010,-0.005,1.006,1.006
0.910,0.010,-0.004,1.007,1.007
0.919,0.009,-0.005,1.008,1.008
0.928,0.007,-0.004,1.006,1.006
0.959,0.009,-0.005,1.006,1.006
0.960,0.008,-0.004,1.004,1.005
0.961,0.008,-0.004,1.005,1.005
0.968,0.008,-0.005,1.005,1.005
0.979,0.008,-0.004,1.006,1.006
0.991,0.011,-0.004,1.005,1.005
0.998,0.011,-0.005,1.003,1.003
1.052,0.009,-0.004,1.004,1.004
1.053,0.009,-0.004,1.003,1.003
1.054,0.009,-0.005,1.004,1.004
1.055,0.009,-0.004,1.004,1.004
1.055,0.008,-0.002,1.005,1.005
1.078,0.009,-0.003,1.004,1.004
1.078,0.009,-0.003,1.004,1.004
1.079,0.008,-0.003,1.006,1.006
1.096,0.011,-0.004,1.004,1.004
1.098,0.011,-0.005,1.005,1.005
1.116,0.010,-0.004,1.005,1.005
1.119,0.009,-0.005,1.006,1.006
1.138,0.010,-0.003,1.005,1.005
1.139,0.008,-0.004,1.006,1.006
1.148,0.009,-0.004,1.005,1.005
1.159,0.008,-0.003,1.004,1.004
1.170,0.008,-0.003,1.005,1.005
1.183,0.009,-0.004,1.005,1.005
1.210,0.009,-0.003,1.005,1.005
1.211,0.010,-0.004,1.005,1.005
1.212,0.011,-0.004,1.007,1.007
1.221,0.008,-0.004,1.006,1.006
1.229,0.008,-0.004,1.007,1.007
1.243,0.008,-0.002,1.005,1.005
1.249,0.008,-0.002,1.004,1.004
1.260,0.008,-0.003,1.004,1.004
1.270,0.008,-0.005,1.004,1.004
1.283,0.009,-0.004,1.004,1.004
1.295,0.010,-0.005,1.005,1.005
1.299,0.010,-0.004,1.007,1.007
1.309,0.009,-0.005,1.006,1.006
1.324,0.010,-0.004,1.007,1.007
1.328,0.009,-0.003,1.007,1.007
1.341,0.009,-0.004,1.007,1.007
1.348,0.010,-0.003,1.004,1.004
1.359,0.008,-0.003,1.005,1.005
1.387,0.009,-0.003,1.004,1.004
1.390,0.009,-0.004,1.006,1.006
1.391,0.010,-0.004,1.005,1.005
1.399,0.010,-0.004,1.005,1.005
1.409,0.009,-0.004,1.006,1.006
1.422,0.008,-0.005,1.005,1.005
1.429,0.007,-0.003,1.006,1.006
1.440,0.010,-0.003,1.004,1.004
1.449,0.010,-0.004,1.005,1.005
1.469,0.008,-0.004,1.005,1.005
1.470,0.009,-0.003,1.005,1.005
1.479,0.009,-0.004,1.005,1.005
1.489,0.010,-0.004,1.005,1.005
1.500,0.009,-0.005,1.004,1.004
1.510,0.009,-0.003,1.005,1.005
1.529,0.009,-0.004,1.005,1.005
1.530,0.009,-0.004,1.005,1.005
1.539,0.009,-0.003,1.004,1.004
1.548,0.008,-0.003,1.004,1.004
1.567,0.009,-0.002,1.006,1.006
1.569,0.007,-0.004,1.005,1.005
1.579,0.010,-0.003,1.006,1.006
1.589,0.010,-0.004,1.006,1.006
1.599,0.010,-0.003,1.005,1.005
1.609,0.009,-0.003,1.005,1.005
1.623,0.009,-0.004,1.004,1.004
1.629,0.009,-0.003,1.006,1.006
1.640,0.008,-0.004,1.004,1.004
1.649,0.008,-0.003,1.005,1.005
1.659,0.009,-0.001,1.005,1.005
1.683,0.009,-0.004,1.005,1.005
1.685,0.009,-0.005,1.004,1.004
1.690,0.010,-0.004,1.006,1.006
1.701,0.009,-0.004,1.007,1.007
1.709,0.009,-0.006,1.005,1.005
1.725,0.009,-0.005,1.005,1.005
1.729,0.010,-0.004,1.006,1.006
1.741,0.008,-0.004,1.005,1.005
1.749,0.007,-0.003,1.005,1.005
1.768,0.008,-0.003,1.005,1.005
1.769,0.010,-0.003,1.005,1.005
1.779,0.009,-0.002,1.006,1.006
1.790,0.010,-0.004,1.007,1.007
1.801,0.010,-0.004,1.004,1.004
1.809,0.010,-0.004,1.004,1.004
1.836,0.009,-0.005,1.007,1.007
1.839,0.009,-0.004,1.007,1.007
1.840,0.008,-0.002,1.007,1.007
1.854,0.008,-0.004,1.005,1.005
1.860,0.008,-0.003,1.006,1.006
1.869,0.008,-0.003,1.005,1.005
1.889,0.008,-0.002,1.004,1.004
1.910,0.008,-0.004,1.003,1.003
1.911,0.008,-0.004,1.004,1.005
1.925,0.009,-0.004,1.004,1.004
1.927,0.007,-0.003,1.004,1.004
1.941,0.009,-0.004,1.004,1.004
1.942,0.008,-0.004,1.005,1.005
1.956,0.009,-0.004,1.005,1.005
1.971,0.008,-0.003,1.003,1.003
1.972,0.008,-0.004,1.004,1.004
1.996,0.008,-0.005,1.005,1.005
1.999,0.008,-0.005,1.005,1.005
2.001,0.009,-0.004,1.004,1.004
2.033,0.010,-0.004,1.003,1.003
2.034,0.011,-0.003,1.007,1.007
2.034,0.010,-0.003,1.006,1.006
2.057,0.008,-0.003,1.006,1.006
2.057,0.007,-0.005,1.005,1.005
2.063,0.008,-0.006,1.005,1.005
2.079,0.008,-0.004,1.004,1.004
2.081,0.007,-0.004,1.005,1.005
2.092,0.008,-0.004,1.004,1.004
2.103,0.010,-0.005,1.005,1.005
2.109,0.009,-0.004,1.004,1.004
2.121,0.009,-0.004,1.005,1.005
2.129,0.009,-0.003,1.005,1.005
2.139,0.009,-0.003,1.007,1.007
2.152,0.009,-0.002,1.006,1.006
2.160,0.010,-0.004,1.005,1.005
2.170,0.009,-0.003,1.006,1.006
2.180,0.010,-0.004,1.007,1.007
2.198,0.008,-0.004,1.004,1.004
2.214,0.008,-0.003,1.005,1.005
2.215,0.009,-0.005,1.005,1.005
2.227,0.009,-0.004,1.005,1.005
2.230,0.010,-0.003,1.004,1.004
2.240,0.008,-0.003,1.005,1.005
2.255,0.009,-0.003,1.005,1.005
2.261,0.010,-0.003,1.006,1.006
2.273,0.010,-0.003,1.004,1.004
2.282,0.006,-0.000,1.017,1.017
2.299,0.002,0.006,0.993,0.993
2.306,0.010,-0.007,1.009,1.009
2.313,0.018,-0.010,0.999,0.999
2.326,0.021,-0.011,1.015,1.015
2.330,0.021,-0.008,0.997,0.998
2.341,0.007,-0.005,1.007,1.007
2.356,0.005,0.002,1.005,1.005
2.360,-0.002,0.006,1.002,1.002
2.374,-0.004,0.003,1.010,1.010
2.380,0.004,0.003,1.005,1.005
2.412,0.006,-0.003,1.006,1.006
